"gene","Genotype.statistic","Diet.statistic","Genotype:Diet.statistic","Genotype.p.value","Diet.p.value","Genotype:Diet.p.value","Genotype.p.adj","Diet.p.adj","Genotype:Diet.p.adj"
"Pbrm1",4.45519269235844,2.33101878764913,0.0407798590538874,0.0348085709068522,0.12683581825302,0.83996564945053,0.10104965157978,0.218746618970588,0.925575084203956
"Nt5c1a",0.148673688787183,52.1093349112476,0.0406254928726728,0.699810464035888,5.45133132299036e-13,0.840264742405363,0.82382103241245,4.62501518936321e-12,0.925624787724283
"Lrfn5",0.0558554484113283,0.032105141281263,0.0406277461747905,0.813173330079104,0.857799040025089,0.840260372259817,0.894251870126601,0.901170272802975,0.925624787724283
"Zbed3",0.00829633093953585,1.08320638437084,0.0406820027302323,0.927426668045412,0.297994869263535,0.840155182947687,0.961335798875781,0.429713564945885,0.925624787724283
"Dynlt2b",0.209365348922876,5.69675255635743,0.0406394239029678,0.647270624831396,0.0170062417619809,0.840237726020127,0.786429898355657,0.0398967819191694,0.925624787724283
"Cnr2",1.29285704706332,0.589574822216577,0.0405523864322791,0.255536714968327,0.442593304863465,0.8404065964858,0.438970313754531,0.566268385887589,0.925717725098217
"Ntn3",0.0343561550945172,3.77314448956379,0.0405101775781172,0.852953297037733,0.0520966750540064,0.840488558180653,0.91781536533235,0.104746255262163,0.925744682105544
"Mavs",0.746981263988793,6.80386509988827,0.0403483595975453,0.387444787086685,0.00910333127639645,0.840803190791653,0.568579550392498,0.0231414870631556,0.925857664762761
"Prrt4",0.432386767797262,0.632674150002702,0.0403096180941855,0.51082823442212,0.426386238709492,0.840878615609227,0.67736150408492,0.551095401070628,0.925857664762761
"Sox4",5.74342029055734,18.1962411706855,0.0404277268869088,0.0165603219405197,2.00253756710005e-05,0.840648790248346,0.0552227923396539,8.41076224387378e-05,0.925857664762761
"ENSMUSG00000074734",0.786092156863542,1.67992270121919,0.040345546471732,0.375295830661069,0.194950769685768,0.840808666323839,0.557097046564822,0.308287562039666,0.925857664762761
"Msx3",3.82302743474151,0.801977786171621,0.0403157101165713,0.0505677389486233,0.370514263943577,0.8408667527128,0.135647559601813,0.496121706561736,0.925857664762761
"Insyn2b",2.08783374665196,0.468950050581532,0.0402041554548966,0.148493283400278,0.493479105072782,0.841084129295233,0.30172710947567,0.611974896340933,0.926020629976831
"Nxnl1",0.00978720759256102,4.32228003435072,0.0400471310760809,0.921194661305184,0.037630126737042,0.841390640887786,0.956970365202076,0.0793866017092345,0.926217857518025
"Ggt5",1.6981502965133,14.1740509205469,0.0400240121662789,0.19254615059609,0.000167164526305313,0.841435821749437,0.360049192209285,0.000610098137855989,0.926217857518025
"Slc28a3",0.928989557489817,160.684856610756,0.0400471616723016,0.335138127933568,1.13604104105484e-36,0.841390581103141,0.51777120542207,2.7886690372113e-35,0.926217857518025
"Trpc7",1.86838642284601,0.0421808629153589,0.0399835655262631,0.171676482015945,0.837277642347272,0.841514898528879,0.333233653556264,0.887193648398902,0.926225909719748
"Anks1",0.152619559337429,3.93681766380426,0.039961439453898,0.696048942355421,0.047254703294651,0.841558174570554,0.821013486577011,0.0966276174163512,0.926225909719748
"Zbtb37",3.724878558197,0.316917807610489,0.0397671519555455,0.0536226788949291,0.573472614103728,0.841938714737494,0.14188070953747,0.683236867779841,0.926439245412126
"Pcsk4",0.266192319955347,12.6987505291662,0.0396863806315615,0.60590362844644,0.000366813675409559,0.842097201459187,0.754416309353826,0.00125623152171844,0.926439245412126
"Icam2",3.89189636678462,0.0164566528993404,0.0396998623725026,0.0485343606562318,0.897926016808759,0.842070736398805,0.131441104885183,0.930851261423946,0.926439245412126
