"gene","Genotype.statistic","Diet.statistic","Genotype:Diet.statistic","Genotype.p.value","Diet.p.value","Genotype:Diet.p.value","Genotype.p.adj","Diet.p.adj","Genotype:Diet.p.adj"
"Krtap28-13",0.65846816644139,0.602532511792257,0.0347613356415779,0.417105250242775,0.437617179576088,0.85209743374938,0.55004635487334,0.522516723784923,0.912713209340527
"Ap4s1",9.16974262585507,17.2455053807665,0.0346848749952732,0.00246178716885575,3.29036038399286e-05,0.852258311652143,0.00710722060082743,8.31504362214747e-05,0.912825461522796
"Slc2a13",9.33292534202707,0.0449457672823652,0.0345965551896221,0.00225195150257761,0.832104675347701,0.852444370490299,0.00655373048586729,0.870951565856506,0.912964667618805
"Radil",1.85505643811162,0.499970136305394,0.0345638297760926,0.173202783272396,0.479516648781777,0.852513373832902,0.284712351375964,0.562569734194967,0.912978497656303
"Col6a2",61.3746346262918,6.28770494155134,0.0345048648610015,4.81416456312431e-15,0.0121610857356761,0.852637789973016,5.53390936398124e-14,0.0225117698759922,0.91305166495992
"Ccdc81",0.245008847049714,0.871340297042054,0.0344074799760858,0.620613885123687,0.350589181753798,0.852843513403681,0.730316093707218,0.438795856317307,0.913091749501527
"Zfp825",0.174874218766452,1.22177568002198,0.0344418545869564,0.67581762946403,0.269017950188756,0.852770863443972,0.774722413887317,0.352504039222539,0.913091749501527
"Grid1",0.330050640771502,0.126829905095631,0.0344304459899526,0.565631940707765,0.721743367271037,0.85279497109517,0.684876225463087,0.780741462688288,0.913091749501527
"Cyp4f18",4.18985848090774,0.677297399273679,0.0343451577234677,0.0406718808568691,0.410522966195794,0.852975325859534,0.0858534826491062,0.495593141049391,0.913172808406711
"Igkv4-91",0.0754841868880738,0.953012998425536,0.0342901080093727,0.78351420706269,0.328958427918204,0.853091859719908,0.856081636277699,0.41649473640515,0.913237500865567
"Ildr2",0.144831456772065,4.63925604346698,0.0342391215999178,0.703526032359519,0.0312534677478911,0.853199878368074,0.795560179846873,0.0536730000561747,0.913293069853817
"Siglece",3.64423082672288,0.0106598074433326,0.0342061498488725,0.0562696950104869,0.917767887415645,0.853269775864124,0.113691885015603,0.939056317793843,0.913307828088403
"Dhrs11",5.61554139673959,23.8448145846322,0.0341432134570377,0.0178057795204155,1.04755230063491e-06,0.85340329280804,0.04177351877397,3.03885382239073e-06,0.913390675765155
"Fndc7",0.0374016452353781,1.52058090328957,0.0340986349412249,0.846650403629014,0.217537595708486,0.853497941287902,0.899303616540685,0.295465574544979,0.91343191467836
"Trem1",0.010279654241687,0.127465877925886,0.0340554632893173,0.919242382120254,0.72107566658032,0.853589663735188,0.948916048564902,0.780278461968347,0.91347001687164
"Trim45",17.8562930746579,0.996213166695985,0.0339302008353616,2.38665902972459e-05,0.31823353909117,0.853856137005885,9.97628377679176e-05,0.40496343646212,0.913589952829084
"Zfp583",1.70025574228538,4.82457273898987,0.0338709423777287,0.192260736763461,0.0280615434435211,0.853982375885883,0.309599130619198,0.0486699391106996,0.913589952829084
"Rtn2",0.0709579866420136,0.517154444235082,0.0339134215296835,0.789948160753036,0.47206151778042,0.853891870552121,0.859720928896574,0.555585345257548,0.913589952829084
"Gpr141b",1.37102340774839,0.592956414616492,0.0339048409870071,0.241641890973388,0.44128192179019,0.853910147380063,0.36787955134844,0.525892675720141,0.913589952829084
"Zfp729a",0.76044055702258,1.15823160173987,0.0338936959667396,0.38319501261816,0.28183795751266,0.853933890196842,0.516030877834516,0.366324078450336,0.913589952829084
"Spag6l",0.393181650572285,1.01501264092963,0.033739343702328,0.530634672438725,0.313709989889547,0.854263130769343,0.655222315527623,0.400114206662918,0.913830243134372
"Aurka",17.7903521637528,15.4402941706226,0.0336989403278542,2.47078647113652e-05,8.52713540892283e-05,0.854349441552238,0.000103041228262078,0.000207375142762643,0.913862512988485
